document_id,title,path,revision,status,owner,approver,effective_date
MD-HFE-003,Human factors labeling training and competency execution,docs/medical-device/human-factors/USABILITY_EXECUTION.md,0.1,draft,usability-lead-unassigned,clinical-and-regulatory-unassigned,
MD-HFE-FRM-001,User competency register,docs/medical-device/human-factors/USER_COMPETENCY_REGISTER.csv,0.1,template,usability-lead-unassigned,site-laboratory-director-unassigned,
MD-SQ-001,Site qualification protocol,docs/medical-device/site/SITE_QUALIFICATION.md,0.1,draft,operations-owner-unassigned,site-quality-and-laboratory-director-unassigned,
MD-SQ-002,Site acceptance checklist,docs/medical-device/site/SITE_ACCEPTANCE_CHECKLIST.csv,0.1,template,operations-owner-unassigned,site-quality-unassigned,
MD-SGL-001,Site qualification and go-live execution,docs/medical-device/site/SITE_GO_LIVE_EXECUTION.md,0.1,draft,operations-owner-unassigned,site-quality-and-laboratory-director-unassigned,
MD-SGL-FRM-001,Site execution register,docs/medical-device/site/SITE_EXECUTION_REGISTER.csv,0.1,template,operations-owner-unassigned,site-quality-unassigned,
MD-PMS-001,Postmarket surveillance and operations,docs/medical-device/postmarket/POSTMARKET_OPERATIONS.md,0.1,draft,quality-manager-unassigned,clinical-safety-and-regulatory-unassigned,
MD-PMS-002,Postmarket signal register,docs/medical-device/postmarket/SIGNAL_REGISTER.csv,0.1,template,quality-manager-unassigned,clinical-safety-unassigned,
MD-PME-001,Postmarket surveillance and response execution,docs/medical-device/postmarket/POSTMARKET_EXECUTION.md,0.1,draft,quality-manager-unassigned,clinical-safety-and-regulatory-unassigned,
MD-PME-FRM-001,Postmarket event register,docs/medical-device/postmarket/POSTMARKET_EVENT_REGISTER.csv,0.1,template,quality-manager-unassigned,clinical-safety-unassigned,
MD-OPS-001,Professional daily-use runbook,docs/medical-device/operations/PROFESSIONAL_USE_RUNBOOK.md,0.1,draft,laboratory-operations-owner-unassigned,laboratory-director-unassigned,
MD-OPS-FRM-001,Daily safety checklist,docs/medical-device/operations/DAILY_SAFETY_CHECKLIST.csv,0.1,template,laboratory-operations-owner-unassigned,laboratory-director-unassigned,
